sep=,
Iteração,Tempo
0, 0.296000
1, 0.269000
2, 0.279000
3, 0.290000
4, 0.303000
5, 0.281000
6, 0.262000
7, 0.282000
8, 0.265000
9, 0.266000
10, 0.266000
11, 0.250000
12, 0.265000
13, 0.266000
14, 0.250000
15, 0.265000
16, 0.250000
17, 0.266000
18, 0.281000
19, 0.266000
20, 0.250000
21, 0.266000
22, 0.250000
23, 0.250000
24, 0.265000
25, 0.266000
26, 0.250000
27, 0.250000
28, 0.265000
29, 0.250000
30, 0.266000
31, 0.250000
32, 0.266000
33, 0.250000
34, 0.250000
35, 0.265000
36, 0.250000
37, 0.266000
38, 0.281000
39, 0.266000
40, 0.265000
41, 0.278000
42, 0.280000
43, 0.274000
44, 0.277000
45, 0.279000
46, 0.276000
47, 0.280000
48, 0.278000
49, 0.276000
50, 0.271000
51, 0.267000
52, 0.253000
53, 0.263000
54, 0.279000
55, 0.253000
56, 0.295000
57, 0.316000
58, 0.273000
59, 0.273000
60, 0.274000
61, 0.275000
62, 0.269000
63, 0.250000
64, 0.279000
65, 0.271000
66, 0.263000
67, 0.263000
68, 0.253000
69, 0.267000
70, 0.266000
71, 0.263000
72, 0.275000
73, 0.266000
74, 0.266000
75, 0.280000
76, 0.325000
77, 0.258000
78, 0.259000
79, 0.259000
80, 0.270000
81, 0.257000
82, 0.265000
83, 0.246000
84, 0.264000
85, 0.270000
86, 0.245000
87, 0.268000
88, 0.282000
89, 0.258000
90, 0.276000
91, 0.250000
92, 0.259000
93, 0.275000
94, 0.280000
95, 0.283000
96, 0.302000
97, 0.252000
98, 0.255000
99, 0.259000
