sep=,
Iteração,Tempo
0, 0.215000
1, 0.208000
2, 0.219000
3, 0.214000
4, 0.204000
5, 0.202000
6, 0.275000
7, 0.203000
8, 0.203000
9, 0.188000
10, 0.203000
11, 0.203000
12, 0.203000
13, 0.203000
14, 0.214000
15, 0.213000
16, 0.203000
17, 0.188000
18, 0.203000
19, 0.187000
20, 0.203000
21, 0.188000
22, 0.203000
23, 0.188000
24, 0.203000
25, 0.187000
26, 0.203000
27, 0.203000
28, 0.188000
29, 0.203000
30, 0.188000
31, 0.203000
32, 0.218000
33, 0.204000
34, 0.187000
35, 0.203000
36, 0.188000
37, 0.203000
38, 0.209000
39, 0.211000
40, 0.198000
41, 0.221000
42, 0.214000
43, 0.219000
44, 0.214000
45, 0.216000
46, 0.217000
47, 0.210000
48, 0.201000
49, 0.205000
50, 0.208000
51, 0.184000
52, 0.205000
53, 0.203000
54, 0.198000
55, 0.199000
56, 0.187000
57, 0.223000
58, 0.237000
59, 0.187000
60, 0.198000
61, 0.211000
62, 0.198000
63, 0.191000
64, 0.200000
65, 0.208000
66, 0.204000
67, 0.196000
68, 0.188000
69, 0.204000
70, 0.203000
71, 0.187000
72, 0.204000
73, 0.202000
74, 0.206000
75, 0.187000
76, 0.211000
77, 0.201000
78, 0.198000
79, 0.212000
80, 0.188000
81, 0.223000
82, 0.213000
83, 0.228000
84, 0.189000
85, 0.220000
86, 0.196000
87, 0.217000
88, 0.211000
89, 0.212000
90, 0.210000
91, 0.203000
92, 0.201000
93, 0.201000
94, 0.202000
95, 0.201000
96, 0.204000
97, 0.206000
98, 0.211000
99, 0.211000
