Iteração,Tempo
0, 0.104000
1, 0.066000
2, 0.100000
3, 0.078000
4, 0.094000
5, 0.062000
6, 0.078000
7, 0.078000
8, 0.063000
9, 0.078000
10, 0.078000
11, 0.063000
12, 0.078000
13, 0.078000
14, 0.062000
15, 0.094000
16, 0.078000
17, 0.063000
18, 0.078000
19, 0.078000
20, 0.063000
21, 0.093000
22, 0.063000
23, 0.078000
24, 0.078000
25, 0.063000
26, 0.078000
27, 0.078000
28, 0.078000
29, 0.062000
30, 0.094000
31, 0.063000
32, 0.078000
33, 0.078000
34, 0.062000
35, 0.079000
36, 0.093000
37, 0.078000
38, 0.094000
39, 0.078000
40, 0.078000
41, 0.079000
42, 0.078000
43, 0.093000
44, 0.079000
45, 0.078000
46, 0.093000
47, 0.094000
48, 0.078000
49, 0.078000
50, 0.079000
51, 0.078000
52, 0.062000
53, 0.078000
54, 0.078000
55, 0.079000
56, 0.078000
57, 0.093000
58, 0.063000
59, 0.078000
60, 0.078000
61, 0.063000
62, 0.078000
63, 0.078000
64, 0.078000
65, 0.063000
66, 0.093000
67, 0.063000
68, 0.078000
69, 0.078000
70, 0.078000
71, 0.078000
72, 0.078000
73, 0.063000
74, 0.094000
75, 0.062000
76, 0.078000
77, 0.078000
78, 0.063000
79, 0.094000
80, 0.062000
81, 0.078000
82, 0.094000
83, 0.063000
84, 0.078000
85, 0.078000
86, 0.062000
87, 0.078000
88, 0.079000
89, 0.078000
90, 0.078000
91, 0.078000
92, 0.062000
93, 0.079000
94, 0.078000
95, 0.078000
96, 0.078000
97, 0.062000
98, 0.079000
99, 0.078000
