sep=,
Iteração,Tempo
0, 0.216000
1, 0.215000
2, 0.234000
3, 0.248000
4, 0.200000
5, 0.203000
6, 0.224000
7, 0.200000
8, 0.187000
9, 0.187000
10, 0.204000
11, 0.203000
12, 0.203000
13, 0.187000
14, 0.188000
15, 0.203000
16, 0.203000
17, 0.188000
18, 0.203000
19, 0.187000
20, 0.203000
21, 0.188000
22, 0.203000
23, 0.187000
24, 0.204000
25, 0.187000
26, 0.203000
27, 0.188000
28, 0.218000
29, 0.219000
30, 0.188000
31, 0.203000
32, 0.187000
33, 0.203000
34, 0.188000
35, 0.203000
36, 0.188000
37, 0.203000
38, 0.203000
39, 0.187000
40, 0.203000
41, 0.188000
42, 0.203000
43, 0.188000
44, 0.203000
45, 0.187000
46, 0.203000
47, 0.188000
48, 0.203000
49, 0.187000
50, 0.204000
51, 0.187000
52, 0.203000
53, 0.188000
54, 0.203000
55, 0.219000
56, 0.216000
57, 0.209000
58, 0.206000
59, 0.193000
60, 0.188000
61, 0.203000
62, 0.187000
63, 0.204000
64, 0.187000
65, 0.203000
66, 0.188000
67, 0.203000
68, 0.187000
69, 0.203000
70, 0.188000
71, 0.203000
72, 0.188000
73, 0.203000
74, 0.203000
75, 0.219000
76, 0.203000
77, 0.203000
78, 0.219000
79, 0.203000
80, 0.218000
81, 0.219000
82, 0.203000
83, 0.203000
84, 0.188000
85, 0.203000
86, 0.188000
87, 0.219000
88, 0.209000
89, 0.211000
