sep=,
Iteração,Tempo
0, 0.290000
1, 0.286000
2, 0.297000
3, 0.256000
4, 0.265000
5, 0.313000
6, 0.250000
7, 0.265000
8, 0.282000
9, 0.296000
10, 0.250000
11, 0.266000
12, 0.250000
13, 0.266000
14, 0.250000
15, 0.265000
16, 0.297000
17, 0.266000
18, 0.250000
19, 0.265000
20, 0.250000
21, 0.266000
22, 0.250000
23, 0.266000
24, 0.250000
25, 0.250000
26, 0.265000
27, 0.250000
28, 0.250000
29, 0.266000
30, 0.250000
31, 0.250000
32, 0.266000
33, 0.250000
34, 0.250000
35, 0.265000
36, 0.266000
37, 0.265000
38, 0.266000
39, 0.250000
40, 0.266000
41, 0.250000
42, 0.250000
43, 0.265000
44, 0.250000
45, 0.266000
46, 0.250000
47, 0.250000
48, 0.266000
49, 0.250000
50, 0.250000
51, 0.265000
52, 0.250000
53, 0.266000
54, 0.250000
55, 0.250000
56, 0.265000
57, 0.282000
58, 0.250000
59, 0.265000
60, 0.266000
61, 0.276000
62, 0.275000
63, 0.270000
64, 0.271000
65, 0.262000
66, 0.266000
67, 0.250000
68, 0.265000
69, 0.249000
70, 0.266000
71, 0.250000
72, 0.270000
73, 0.292000
74, 0.268000
75, 0.267000
76, 0.311000
77, 0.281000
78, 0.272000
79, 0.262000
80, 0.255000
81, 0.291000
82, 0.271000
83, 0.266000
84, 0.267000
85, 0.248000
86, 0.269000
87, 0.252000
88, 0.265000
89, 0.261000
90, 0.249000
91, 0.278000
92, 0.265000
93, 0.274000
94, 0.268000
95, 0.311000
96, 0.265000
97, 0.266000
98, 0.252000
99, 0.266000
